source,target,identity,evalue,bitscore
A0A024B7W1,A0A142I5B9,0.9696,0.0,0.0
A0A024B7W1,C8XPA8,0.1526,0.0,0.0
A0A024B7W1,G1CRV4,0.186,0.0,0.0
A0A024B7W1,G3FEX6,0.1779,0.0,0.0
A0A024B7W1,P05769,0.1806,0.0,0.0
A0A024B7W1,P06935,0.2021,0.0,0.0
A0A024B7W1,P07564,0.1713,0.0,0.0
A0A024B7W1,P09732,0.1791,0.0,0.0
A0A024B7W1,P09866,0.1546,0.0,0.0
A0A024B7W1,P12823,0.1695,0.0,0.0
A0A024B7W1,P14335,0.198,0.0,0.0
A0A024B7W1,P14337,0.1744,0.0,0.0
A0A024B7W1,P14340,0.1723,0.0,0.0
A0A024B7W1,P14403,0.1796,0.0,0.0
A0A024B7W1,P17763,0.1714,0.0,0.0
A0A061I403,B4F6I5,0.3993,0.0,0.0
A0A072ULZ1,A2XE45,0.1543,0.0,0.0
A0A072ULZ1,I1LJI1,0.3474,0.0,0.0
A0A072ULZ1,O04985,0.1613,0.0,0.0
A0A072ULZ1,O24520,0.1975,0.0,0.0
A0A072VIM5,A0A0K0PU92,0.5165,0.0,0.0
A0A072VIM5,G3LSH3,0.5562,0.0,0.0
A0A072VIM5,G8GTN7,0.5308,0.0,0.0
A0A075QQ08,A0A1D8EJF9,0.3194,0.0,0.0
A0A075QQ08,A0A1U8GR65,0.3213,0.0,0.0
A0A075QQ08,A0A2J6L8Y7,0.2812,0.0,0.0
A0A075QQ08,A0A3Q7FGP1,0.6157,0.0,0.0
A0A075QQ08,C6ZJZ3,0.3099,0.0,0.0
A0A075QQ08,C7SG33,0.3127,0.0,0.0
A0A075QQ08,D3UW26,0.2945,0.0,0.0
A0A075QQ08,O81481,0.3018,0.0,0.0
A0A075QQ08,P0DXI0,0.3097,0.0,0.0
A0A089QRB9,A0A1W5T1U1,0.1531,0.0,0.0
A0A089QRB9,A0R1E8,0.3296,0.0,0.0
A0A089QRB9,B2HIL7,0.1904,0.0,0.0
A0A089QRB9,E5XP76,0.1541,0.0,0.0
A0A089QRB9,G7CBF5,0.1585,0.0,0.0
A0A089QRB9,I6XD69,0.1981,0.0,0.0
A0A089QRB9,O53901,0.3566,0.0,0.0
A0A095C325,O80725,0.1688,0.0,0.0
A0A095C325,P06795,0.1545,0.0,0.0
A0A095C325,P08183,0.1505,0.0,0.0
A0A096MJY4,A4UTP7,0.7769,0.0,0.0
A0A096MJY4,O89038,0.2211,0.0,0.0
A0A0A8IDB7,A8P0V4,1.0,0.0,0.0
A0A0B4U9L8,A3R0T9,0.1846,0.0,0.0
A0A0B4U9L8,D3TTC2,0.1971,0.0,0.0
A0A0B7P3V8,P0C2J7,0.949,0.0,0.0
A0A0B7P3V8,P0DOC6,0.1522,0.0,0.0
A0A0C5CJR8,P07268,0.1837,0.0,0.0
A0A0D2UG83,O75367,0.1507,0.0,0.0
A0A0D2UG83,P16104,0.152,0.0,0.0
A0A0G2JTY4,O88942,0.185,0.0,0.0
A0A0G2K1Q8,E9PX95,0.2021,0.0,0.0
A0A0G2L7I0,A0A1L8G2K9,0.1818,0.0,0.0
A0A0G2L7I0,A5D979,0.1676,0.0,0.0
A0A0G2L7I0,D3ZVU1,0.1546,0.0,0.0
A0A0G2L7I0,F6UH96,0.17,0.0,0.0
A0A0G2L7I0,G3X912,0.1583,0.0,0.0
A0A0G2Q9D6,A0QNE0,0.5613,0.0,0.0
A0A0G2Q9D6,C5C7X8,0.2406,0.0,0.0
A0A0G2Q9D6,P0A2I3,0.161,0.0,0.0
A0A0G2Q9D6,P0AES6,0.1639,0.0,0.0
A0A0G2Q9D6,P0C559,0.5613,0.0,0.0
A0A0G2Q9F8,C5C7X9,0.2498,0.0,0.0
A0A0G2Q9F8,P0AES4,0.1983,0.0,0.0
A0A0H3GDH9,A0A3Q0NBH7,1.0,0.0,0.0
A0A0H3JRU9,P11154,0.2041,0.0,0.0
A0A0H3JRU9,P11498,0.1799,0.0,0.0
A0A0J9UMG2,A2QC57,0.2934,0.0,0.0
A0A0J9UMG2,E9EFJ1,0.4597,0.0,0.0
A0A0J9UMG2,G2WS87,0.4525,0.0,0.0
A0A0J9UMG2,G4N0X4,0.3588,0.0,0.0
A0A0J9UMG2,G5EB74,0.2873,0.0,0.0
A0A0J9UMG2,H6CAN5,0.2841,0.0,0.0
A0A0J9UMG2,I1RE84,0.7825,0.0,0.0
A0A0J9UMG2,O13281,0.2873,0.0,0.0
A0A0J9UMG2,O93809,0.3539,0.0,0.0
A0A0K0PU92,G3LSH3,0.5978,0.0,0.0
A0A0K0PU92,G8GTN7,0.5595,0.0,0.0
A0A0P0XII1,A8R7E6,0.2125,0.0,0.0
A0A0P0XII1,D7UPN3,0.2396,0.0,0.0
A0A0R4IEW8,B5DF91,0.2563,0.0,0.0
A0A0R4IEW8,P16914,0.1877,0.0,0.0
A0A0U1RPR8,O02740,0.1943,0.0,0.0
A0A0U1RPR8,O19179,0.2515,0.0,0.0
A0A125QXJ1,G5EFD4,0.1565,0.0,0.0
A0A125QXJ1,O70595,0.7167,0.0,0.0
A0A142I5B9,C8XPA8,0.1511,0.0,0.0
A0A142I5B9,G1CRV4,0.1891,0.0,0.0
A0A142I5B9,G3FEX6,0.1764,0.0,0.0
A0A142I5B9,P05769,0.1775,0.0,0.0
A0A142I5B9,P06935,0.2021,0.0,0.0
A0A142I5B9,P07564,0.1698,0.0,0.0
A0A142I5B9,P09732,0.1807,0.0,0.0
A0A142I5B9,P09866,0.1553,0.0,0.0
A0A142I5B9,P12823,0.168,0.0,0.0
A0A142I5B9,P14335,0.1988,0.0,0.0
A0A142I5B9,P14337,0.1729,0.0,0.0
A0A142I5B9,P14340,0.1708,0.0,0.0
A0A142I5B9,P14403,0.1781,0.0,0.0
A0A142I5B9,P17763,0.1722,0.0,0.0
A0A194WDG1,B0Y4X4,0.5832,0.0,0.0
A0A194WDG1,G4N374,0.6715,0.0,0.0
A0A194WDG1,O13352,0.6715,0.0,0.0
A0A194WDG1,O94737,0.2345,0.0,0.0
A0A1C3NSL9,O75150,0.1613,0.0,0.0
A0A1D5PXA5,O35433,0.159,0.0,0.0
A0A1D8EJF9,A0A1U8GR65,0.5625,0.0,0.0
A0A1D8EJF9,A0A2J6L8Y7,0.235,0.0,0.0
A0A1D8EJF9,A0A3Q7FGP1,0.3263,0.0,0.0
A0A1D8EJF9,C6ZJZ3,0.2652,0.0,0.0
A0A1D8EJF9,C7SG33,0.2231,0.0,0.0
A0A1D8EJF9,D3UW26,0.8016,0.0,0.0
A0A1D8EJF9,O81481,0.2557,0.0,0.0
A0A1D8EJF9,P0DXI0,0.2371,0.0,0.0
A0A1D8PJ01,P05030,0.507,0.0,0.0
A0A1D8PJ01,P09627,0.3731,0.0,0.0
A0A1D8PJX3,P07056,0.2991,0.0,0.0
A0A1D8PJX3,P08067,0.2997,0.0,0.0
A0A1D8PJX3,P13272,0.1502,0.0,0.0
A0A1D8PKB4,O74135,0.1801,0.0,0.0
